,matchID,WIN,GOLDEARNED_x,TOTALMINIONSKILLED_x,KILLS_x,ASSISTS_x,DEATHS_x,VISIONSCORE_x,TOTALDAMAGEDEALTTOCHAMPIONS_x,GOLDEARNED_y,TOTALMINIONSKILLED_y,KILLS_y,ASSISTS_y,DEATHS_y,VISIONSCORE_y,TOTALDAMAGEDEALTTOCHAMPIONS_y,GOLDEARNED_ratio,TOTALMINIONSKILLED_ratio,KILLS_ratio,ASSISTS_ratio,DEATHS_ratio,VISIONSCORE_ratio,TOTALDAMAGEDEALTTOCHAMPIONS_ratio
6007,2223132092,0,67382,741,29,51,36,224,122416,72137,730,36,64,29,224,119141,0.9340837572951467,1.015068493150685,0.8055555555555556,0.796875,1.2413793103448276,1.0,1.0274884380691784
6008,2223357077,0,56167,739,16,10,37,167,75794,66386,759,37,47,16,170,92480,0.8460669418250836,0.9736495388669302,0.43243243243243246,0.2127659574468085,2.3125,0.9823529411764705,0.8195717993079584
6009,2226147494,0,37562,404,32,41,23,88,77281,33552,394,12,38,27,85,64079,1.1195159752026704,1.0253807106598984,2.6666666666666665,1.0789473684210527,0.8518518518518519,1.035294117647059,1.2060269355014903
6010,2226213479,0,36540,436,13,20,25,92,46588,47935,527,25,29,13,103,56501,0.7622822572233232,0.8273244781783681,0.52,0.6896551724137931,1.9230769230769231,0.8932038834951457,0.82455177784464
6011,2226375687,0,38968,504,16,12,28,92,40824,48248,547,28,35,16,105,55216,0.8076604211573537,0.9213893967093236,0.5714285714285714,0.34285714285714286,1.75,0.8761904761904762,0.7393509127789046
6012,2227073485,0,37333,509,23,20,32,84,65943,42459,484,28,44,23,93,81673,0.8792717680585977,1.0516528925619835,0.8214285714285714,0.45454545454545453,1.391304347826087,0.9032258064516129,0.8074026912198646
6013,2227107835,0,47932,530,26,30,34,91,72939,54657,537,34,54,27,150,80026,0.8769599502351025,0.9869646182495344,0.7647058823529411,0.5555555555555556,1.2592592592592593,0.6066666666666667,0.9114412815834854
6014,2227140782,0,31500,406,9,12,23,76,39546,39252,454,23,22,9,110,44411,0.8025068786303883,0.8942731277533039,0.391304347826087,0.5454545454545454,2.5555555555555554,0.6909090909090909,0.8904550674382473
6015,2227155900,0,50636,559,20,35,30,121,82202,54699,554,29,51,20,131,78906,0.925720762719611,1.0090252707581226,0.6896551724137931,0.6862745098039216,1.5,0.9236641221374046,1.041771221453375
6016,2227198848,0,76340,830,34,51,61,247,164282,93056,817,61,108,34,254,160723,0.8203662310866575,1.0159118727050183,0.5573770491803278,0.4722222222222222,1.7941176470588236,0.9724409448818898,1.022143688208906
6017,2227223903,0,49944,444,28,39,46,165,89362,63105,511,46,72,28,146,124574,0.7914428333729498,0.8688845401174168,0.6086956521739131,0.5416666666666666,1.6428571428571428,1.13013698630137,0.7173406970957021
6018,2227713579,0,33308,418,14,16,31,58,43661,49301,457,31,35,14,86,55550,0.6756049573030973,0.9146608315098468,0.45161290322580644,0.45714285714285713,2.2142857142857144,0.6744186046511628,0.785976597659766
6019,2227715074,0,43833,456,22,29,29,70,60616,50673,500,29,43,22,108,65938,0.8650168728908887,0.912,0.7586206896551724,0.6744186046511628,1.3181818181818181,0.6481481481481481,0.919287815826989
6020,2227736301,0,51369,500,30,35,48,122,95362,63253,546,48,59,30,166,122390,0.812119583260873,0.9157509157509157,0.625,0.5932203389830508,1.6,0.7349397590361446,0.7791649644578805
6021,2227741665,0,12517,170,9,7,11,18,27114,14679,231,8,7,7,14,17190,0.8527147625860072,0.7359307359307359,1.125,1.0,1.5714285714285714,1.2857142857142858,1.5773123909249565
6022,2228636384,0,59458,600,29,44,39,172,90752,67551,629,39,69,29,144,114161,0.8801942236236325,0.9538950715421304,0.7435897435897436,0.6376811594202898,1.3448275862068966,1.1944444444444444,0.7949474864445827
6023,2228675227,0,34626,457,14,20,16,87,30818,38774,503,16,22,14,91,38455,0.8930210966111312,0.9085487077534792,0.875,0.9090909090909091,1.1428571428571428,0.9560439560439561,0.8014042387205825
6024,2228679137,0,56426,685,26,47,31,147,94250,65493,681,31,60,26,210,94952,0.8615577237261998,1.0058737151248165,0.8387096774193549,0.7833333333333333,1.1923076923076923,0.7,0.9926067907995619
6025,2228686696,0,50826,628,21,24,39,107,62673,62597,657,39,57,21,159,91359,0.8119558445292906,0.9558599695585996,0.5384615384615384,0.42105263157894735,1.8571428571428572,0.6729559748427673,0.6860079466719207
6026,2228715728,0,54051,692,18,16,42,140,84043,69896,756,42,70,19,167,107196,0.7733060547098547,0.9153439153439153,0.42857142857142855,0.22857142857142856,2.210526315789474,0.8383233532934131,0.7840124631516101
6027,2228788759,0,34711,422,14,13,34,81,43964,49620,493,34,30,14,83,62566,0.6995364772269246,0.8559837728194726,0.4117647058823529,0.43333333333333335,2.4285714285714284,0.9759036144578314,0.7026819678419589
